name,position,draft_year,college,time_period,difficulty,image_url
Zaven Collins,,,Tulsa,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/7/74/Zaven_Collins.png
Jaelan Phillips,,,Miami,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/1/11/Jaelan_Phillips_Dolphins-Falcons_OCT2021.png
Chase Young,,,Ohio State,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/6/6f/Chase_Young_%2851398863497%29_%28cropped%29.jpg
Yetur Gross-Matos,,,Penn State,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/1/1d/Yetur_Gross-Matos_%28cropped%29.jpg
Javon Kinlaw,,,South Carolina,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/e/ef/Javon_Kinlaw_%28cropped%29.jpg
Raekwon Davis,,,Alabama,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/c/c2/Raekwon_Davis.jpg
Vita Vea,,,Washington,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/0/03/Vita_Vea_2021_%28cropped%29.jpg
Jonathan Allen,,,Alabama,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/a/a6/Washington_Commanders_Reveal_Jonathan_Allen_%28cropped%29.jpg
Solomon Thomas,,,Stanford,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/2/28/Solomon_Thomas.jpg
Sheldon Richardson,,,Missouri,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/4/4d/Sheldon_Richardson_Browns_preseason_2019_%28cropped%29.jpg
Star Lotulelei,,,Utah,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/3/38/Saints_vs_Panthers_12.6.15_039.jpg
Dontari Poe,,,Memphis,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/3/32/Dontari_Poe_2014.JPG
Michael Brockers,,,LSU,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/3/3c/Michael_Brockers_Commanders_vs_Lions_2022_%28cropped%29.jpg
Nick Fairley,,,Auburn,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/b/ba/Nick_Fairley_2_%28cropped%29.jpg
Cameron Heyward,,,Ohio State,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/8/85/Cameron_Heyward_OCT2021_%28cropped%29.jpg
Chandler Jones,,,Syracuse,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/9/9a/Chandler_Jones.JPG
Olivier Vernon,,,Miami,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/f/fe/Olivier_Vernon.JPG
Aldon Smith,,,Missouri,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/e/e4/Aldon_Smith_-_San_Francisco_vs_Green_Bay_2012.jpg
Jason Pierre-Paul,,,South Florida,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/6/6e/Jason_Pierre-Paul_%2851684900052%29_%28cropped%29.jpg
Brian Orakpo,,,Texas,2000s,medium,https://upload.wikimedia.org/wikipedia/commons/0/03/Washington_Commanders_Reveal_Brian_Orakpo_%28cropped%29.jpg
Trenton Simpson,,,Clemson,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/4/4e/Trenton_Simpson_NFL_Combine_%28cropped%29.png
Dre Greenlaw,,,Arkansas,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/4/42/Dre_Greenlaw.jpg
Frankie Luvu,,,Washington State,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/b/bb/Frankie_Luvu_2025.jpg
Jordyn Brooks,,,Texas Tech,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/c/c9/Jordyn_Brooks_%2850744647202%29_%28cropped%29.jpg
Patrick Queen,,,LSU,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/5/59/Patrick_Queen.jpg
Malik Harrison,,,Ohio State,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/1/12/Malik_Harrison.jpg
Logan Wilson,,,Wyoming,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/c/c0/2025_Commanders_vs._Bengals_-_Logan_Wilson_%28cropped%29.jpg
Isaiah Simmons,,,Clemson,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/0/0f/Semper_Fi_Bowl_Practice_Day_4_151230-M-AH293-031.jpg
Zack Baun,,,Wisconsin,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/b/b4/ZackBaunUW2018_%28cropped%29.jpg
Shaq Thompson,,,Washington,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/a/aa/Shaq_Thompson_2019_%28cropped2%29.jpg
Eric Kendricks,,,UCLA,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/f/fc/Eric_Kendricks_2015.JPG
Benardrick McKinney,,,Mississippi State,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/f/ff/Benardrick_McKinney.JPG
Ryan Shazier,,,Ohio State,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/1/17/Ryan_Shazier.jpg
Kiko Alonso,,,Oregon,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/6/60/KikoAlonso.jpg
Alec Ogletree,,,Georgia,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/2/2d/Alec_Ogletree_%2844433934320%29_%28cropped%29.jpg
Mychal Kendricks,,,California,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/3/34/Mychal_Kendricks_in_2010.jpg
Bruce Irvin,,,West Virginia,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/1/1c/Bruce_Irvin_in_2013.jpg
Justin Houston,,,Georgia,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/f/f7/Justin_Houston_%28cropped%29.jpg
Brooks Reed,,,Arizona,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/e/ea/Brooks_Reed_2015.jpg
Mason Foster,,,Washington,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/9/98/Mason_foster_redskins2017.jpg
Devon Witherspoon,,,Illinois,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/c/cb/Devon_Witherspoon_FanDuel_Interview_%28cropped%29.png
Christian Gonzalez,,,Oregon,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/1/13/Christian_Gonzalez_NFL_Combine_%28cropped%29.png
Emmanuel Forbes,,,Mississippi State,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/5/5e/Emmanuel_Forbes_2023.jpg
Joey Porter Jr.,,,Penn State,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/e/ee/Joey_Porter_Jr._NFL_Combine_%28cropped%29.png
Deonte Banks,,,Maryland,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/2/2f/Terrapins_at_Wolverines_Deonte_Banks.jpg
Darius Rush,,,South Carolina,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/a/ad/Darius_Rush.jpg
Brian Branch,,,Alabama,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/e/e9/Brian_Branch_NFL_Combine_%28cropped%29.png
Ji'Ayir Brown,,,Penn State,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/6/60/Ji%27Ayir_Brown_NFL_Combine_%28cropped%29.png
Jordan Battle,,,Alabama,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/b/b2/Jordan_Battle%2C_2021.jpg
Tre'von Moehrig,,,TCU,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/d/d4/Trevon_Moehrig_Raiders-WFT_DEC2021_%28cropped%29.jpg
Jevon Holland,,,Oregon,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/7/79/Jevon_Holland_%28cropped%29.jpg
Asante Samuel Jr.,,,Florida State,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/1/16/Asante_Samuel_Jr._Ravens_vs_Chargers_-_51603164290_OCT2021_%28cropped%29.jpg
Kelvin Joseph,,,Kentucky,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/9/98/Kelvin_Joseph_%2852480355914%29_%28cropped%29.jpg
Greg Newsome II,,,Northwestern,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/d/da/Greg_Newsome_II_%282021%29.jpg
Elijah Molden,,,Washington,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/4/4c/Elijah_Molden_2021_09-19.jpg
Paulson Adebo,,,Stanford,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/c/c4/Paulson_Adebo_2021_%28cropped%29_2.jpg
Andre Cisco,,,Syracuse,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/1/16/2025_NYJ_Training_Camp_Question_-_Andre_Cisco.png
Trevon Diggs,,,Alabama,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/b/b4/Trevon_Diggs_December_2021_%28cropped%29.jpg
Darnay Holmes,,,UCLA,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/a/a1/Darnay_Holmes.jpg
Grant Delpit,,,LSU,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/2/2f/Grant_Delpit_Browns_OCT2021_%28cropped%29.jpg
Xavier McKinney,,,Alabama,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/0/06/Xavier_McKinney_2025.jpg
K'Von Wallace,,,Clemson,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tennessee_Titans_honor_Fort_Campbell_Soldiers_during_%22Salute_to_Service%22_Game_%28cropped%29.jpg
L'Jarius Sneed,,,Louisiana Tech,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/6/69/CB_L%27Jarius_Sneed_on_Official_Titans_Podcast_%28cropped%29.png
Deandre Baker,,,Georgia,unknown,hard,https://upload.wikimedia.org/wikipedia/commons/7/75/Deandre_Baker_%28cropped%29.jpg
Greedy Williams,,,LSU,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/3/3c/Greedy_Williams_2019_%2849093950202%29_%28cropped%29.jpg
Trayvon Mullen,,,Clemson,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/e/ed/Trayvon_Mullen.JPG
Sean Murphy-Bunting,,,Central Michigan,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/6/67/Sean_Murphy-Bunting_Titans_Interview.png
Lonnie Johnson Jr.,,,Kentucky,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/6/6b/Lonnie_Johnson_Jr.png
Juan Thornhill,,,Virginia,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/e/eb/Juan_Thornhill_Newsome_Celebrity_Softball_Game_JUNE2023_%28cropped%29.jpg
Johnathan Abram,,,Mississippi State,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/8/85/Jonathan_Abram_visits_Kadena_%284%29_%28cropped%29.jpg
Taylor Rapp,,,Washington,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/f/f1/Taylor_Rapp.png
Nasir Adderley,,,Delaware,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/2/28/Nasir_Adderley_%2851459803362%29.jpg
Deionte Thompson,,,Alabama,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/b/bd/Deionte_Thompson.png
Rodrigo Blankenship,,,Georgia,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/b/bc/Rodrigo_Blankenship_speaking_to_the_media%2C_Jan_2018_%28cropped%29.jpg
Cameron Dicker,,,Texas,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/9/9d/Cameron_Dicker_3_18_2024.jpg
C.J. Stroud,,,Ohio State,2020s,easy,
Anthony Richardson,,,Florida,2020s,easy,
Daniel Jones,,,Duke,2010s,medium,
Mitch Trubisky,,,North Carolina,2010s,medium,
Trey Lance,,,North Dakota State,2020s,hard,
Jahmyr Gibbs,,,Alabama,2020s,easy,
Kenneth Walker III,,,Michigan State,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/5/52/Kenneth_Walker_III_being_interviewed_by_Time2Football_2026_%28cropped%29.png
James Conner,,,Pittsburgh,2010s,easy,
Aaron Jones,,,UTEP,2010s,hard,
David Montgomery,,,Iowa State,2010s,medium,
J.K. Dobbins,,,Ohio State,2020s,easy,
A.J. Dillon,,,Boston College,2020s,hard,
Chris Johnson,,,East Carolina,2000s,medium,
Edgerrin James,,,Miami,1990s,medium,
D.J. Moore,,,Maryland,2010s,medium,
Henry Ruggs III,WR,,Alabama,2020s,medium,
DJ Chark,WR,,LSU,2010s,medium,
Corey Davis,,,Western Michigan,2010s,hard,
John Ross,WR,,Washington,2010s,medium,
Robert Woods,WR,,USC,2010s,easy,
Pierre Garcon,WR,,Mount Union,2000s,extreme (touch grass),
Dalton Kincaid,WR,,Utah,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/8/8b/Dalton_Kincaid_pro_bowl.png
Michael Mayer,WR,,Notre Dame,2020s,easy,
O.J. Howard,WR,,Alabama,2010s,medium,
Greg Olsen,WR,,Miami,2000s,easy,
Kellen Winslow Jr.,WR,,Miami,2000s,medium,
Joe Thomas,OL,,Wisconsin,2000s,easy,
Steve Hutchinson,OL,,Michigan,2000s,medium,
Ed Oliver,DL,,Houston,2010s,medium,
Chris Jones,DL,,Mississippi State,2010s,medium,
Michael Bennett,DL,,Texas A&M,2000s,medium,
Fred Warner,WR,,BYU,2010s,medium,
Darius Leonard,LB,,South Carolina State,2010s,hard,
Devin Bush,LB,,Michigan,2010s,medium,
C.J. Mosley,LB,,Alabama,2010s,medium,
Navorro Bowman,OL,,Penn State,2010s,hard,
Clay Matthews,LB,,USC,2010s,medium,
James Harrison,LB,,Kent State,2000s,hard,
Byron Jones,DB,,Connecticut,2010s,hard,
A.J. Terrell,DB,,Clemson,2020s,medium,
Jessie Bates III,,,Wake Forest,2010s,hard,
Justin Simmons,,,Boston College,2010s,hard,
